Date,Open,High,Low,Close,Adj Close,Volume
2014-06-09,69.74,70.76,69.71,70.29,70.29,212826
2014-06-10,70.69,70.69,69.0,69.0,69.0,207612
2014-06-11,68.95,69.4,68.61,69.4,69.4,207715
2014-06-16,67.0,67.0,65.48,66.49,66.49,520423
2014-06-17,66.4,66.82,65.5,66.22,66.22,219261
2014-06-18,66.14,68.01,65.86,67.8,67.8,276596
2014-06-19,68.45,68.95,67.97,68.39,68.39,188079
2014-06-20,68.55,69.24,68.05,68.65,68.65,247349
2014-06-23,68.87,69.4,68.21,68.99,68.99,195573
2014-06-24,69.09,69.25,68.48,68.95,68.95,191568
2014-06-25,68.63,69.06,67.63,67.66,67.66,191597
2014-06-26,67.73,68.19,66.78,67.2,67.2,228827
2014-06-27,68.05,68.05,66.55,67.15,67.15,120365
2014-06-30,67.17,67.58,66.6,67.19,67.19,163975
2014-07-01,67.21,67.99,66.69,67.98,67.98,132268
2014-07-02,67.91,69.2,67.91,69.2,69.2,204711
2014-07-03,69.48,70.2,69.08,70.05,70.05,231628
2014-07-04,69.95,70.32,69.41,69.71,69.71,148269
2014-07-07,69.77,71.49,69.48,71.49,71.49,184810
2014-07-08,71.06,73.19,71.06,72.8,72.8,381218
2014-07-09,72.54,73.25,72.15,73.16,73.16,167278
2014-07-10,73.2,74.02,71.84,72.1,72.1,317565
2014-07-11,72.18,72.75,71.62,72.6,72.6,158768
2014-07-14,72.65,73.05,72.32,72.63,72.63,124991
2014-07-15,72.67,73.19,72.2,73.0,73.0,204730
2014-07-16,73.1,73.9,71.42,71.6,71.6,274249
2014-07-17,70.25,71.48,69.77,71.35,71.35,342601
2014-07-18,70.6,71.32,69.68,70.1,70.1,280507
2014-07-21,70.1,70.1,68.18,68.19,68.19,254739
2014-07-22,68.71,70.29,68.5,70.09,70.09,220574
2014-07-23,69.99,71.93,69.94,71.45,71.45,206070
2014-07-24,71.43,72.2,70.92,72.19,72.19,130980
2014-07-25,71.86,72.0,69.8,70.39,70.39,275582
2014-07-28,69.88,70.38,69.01,69.81,69.81,194139
2014-07-29,70.0,71.16,69.9,70.3,70.3,186122
2014-07-30,70.0,72.0,69.91,70.83,70.83,207320
2014-07-31,70.91,71.8,70.17,70.6,70.6,163860
2014-08-01,70.21,70.72,68.76,69.53,69.53,202172
2014-08-04,69.65,70.29,69.1,70.0,70.0,178477
2014-08-05,70.24,70.67,68.51,68.56,68.56,217880
2014-08-06,68.4,69.37,67.09,67.33,67.33,273368
2014-08-07,66.64,68.58,66.31,68.0,68.0,220177
2014-08-08,67.66,69.5,67.5,68.83,68.83,189087
2014-08-11,69.4,70.28,69.4,69.95,69.95,152380
2014-08-12,69.95,70.1,68.98,69.43,69.43,138671
2014-08-13,69.17,70.14,68.89,70.1,70.1,233434
2014-08-14,70.08,70.44,69.33,69.95,69.95,179525
2014-08-15,69.67,70.76,69.32,70.34,70.34,147880
2014-08-18,70.33,70.64,69.96,70.59,70.59,90299
2014-08-19,70.71,73.13,70.7,72.97,72.97,230589
2014-08-20,73.06,74.29,72.79,74.11,74.11,220564
2014-08-21,74.49,75.35,73.82,73.92,73.92,243054
2014-08-22,74.29,74.38,72.87,73.02,73.02,171859
2014-08-25,72.9,73.84,72.9,73.42,73.42,68174
2014-08-26,73.43,73.76,72.25,72.51,72.51,147246
2014-08-27,72.76,73.2,72.43,73.0,73.0,114514
2014-08-28,72.95,72.95,71.53,72.8,72.8,225254
2014-08-29,72.6,73.5,72.3,72.3,72.3,221671
2014-09-01,72.81,73.57,72.13,72.4,72.4,192938
2014-09-02,72.75,73.0,71.55,71.77,71.77,150051
2014-09-03,71.82,73.65,70.86,73.31,73.31,392697
2014-09-04,73.0,74.0,72.8,73.09,73.09,217143
2014-09-05,73.04,75.35,72.15,75.21,75.21,433199
2014-09-08,74.71,75.8,74.71,75.1,75.1,232197
2014-09-09,74.95,75.33,73.84,73.93,73.93,165841
2014-09-10,73.75,74.53,73.44,73.8,73.8,174874
2014-09-11,74.0,74.49,73.3,73.34,73.34,180003
2014-09-12,73.39,74.95,73.1,74.0,74.0,173654
2014-09-15,74.0,74.65,73.3,74.6,74.6,270268
2014-09-16,74.59,76.7,74.4,76.25,76.25,294756
2014-09-17,76.0,77.06,75.31,76.47,76.47,276647
2014-09-18,76.43,76.94,75.88,76.47,76.47,140846
2014-09-19,76.43,76.46,74.04,74.85,74.85,270483
2014-09-22,74.44,74.5,71.5,71.6,71.6,384981
2014-09-23,71.63,72.98,71.63,72.79,72.79,177359
2014-09-24,73.01,73.95,72.83,73.25,73.25,145576
2014-09-25,73.57,74.69,73.51,74.25,74.25,242803
2014-09-26,74.01,75.3,73.96,74.98,74.98,192481
2014-09-29,74.95,75.39,73.2,73.2,73.2,212698
2014-09-30,73.5,74.28,72.39,73.2,73.2,276646
2014-10-01,73.03,74.19,72.58,72.6,72.6,266081
2014-10-02,72.5,72.9,69.5,69.96,69.96,460432
2014-10-03,70.85,70.99,68.93,69.37,69.37,211614
2014-10-06,69.8,70.97,69.75,70.48,70.48,236392
2014-10-07,70.25,70.9,69.14,70.15,70.15,312758
2014-10-08,69.68,69.77,68.11,68.11,68.11,304818
2014-10-09,68.98,69.89,68.57,69.11,69.11,320325
2014-10-10,68.5,69.28,67.8,68.0,68.0,255162
2014-10-13,67.99,70.83,67.66,69.47,69.47,278355
2014-10-14,69.46,70.84,69.46,69.56,69.56,266850
2014-10-15,69.85,70.8,68.66,70.3,70.3,248460
2014-10-16,70.4,71.26,69.57,69.9,69.9,375968
2014-10-17,70.58,71.66,70.23,71.15,71.15,261141
2014-10-20,71.28,71.88,70.84,71.65,71.65,229162
2014-10-21,71.29,75.5,70.9,75.01,75.01,661987
2014-10-22,75.18,76.75,75.11,76.3,76.3,594555
2014-10-23,76.15,78.86,75.98,77.6,77.6,596971
2014-10-24,77.5,78.05,76.55,77.4,77.4,261652
2014-10-27,78.0,78.9,75.05,75.9,75.9,410515
2014-10-28,76.11,77.49,75.1,75.8,75.8,307982
2014-10-29,76.24,78.06,76.11,77.6,77.6,392153
2014-10-30,77.45,78.4,76.0,76.89,76.89,400597
2014-10-31,77.4,80.33,76.95,80.33,80.33,531951
2014-11-03,80.32,81.38,79.78,79.96,79.96,169555
2014-11-05,79.19,79.97,78.76,79.54,79.54,238669
2014-11-06,79.8,81.87,79.8,80.41,80.41,304794
2014-11-07,80.66,82.17,79.2,80.0,80.0,523243
2014-11-10,80.5,80.9,79.12,80.48,80.48,280324
2014-11-11,80.48,81.27,80.2,80.84,80.84,214554
2014-11-12,80.83,81.4,80.23,81.03,81.03,164723
2014-11-13,81.1,81.63,80.25,80.3,80.3,230497
2014-11-14,80.24,81.55,79.82,81.52,81.52,197362
2014-11-17,81.11,83.0,81.11,82.8,82.8,225287
2014-11-18,83.0,84.13,82.16,83.95,83.95,297264
2014-11-19,83.95,84.93,83.6,84.83,84.83,169193
2014-11-20,84.8,86.25,84.16,85.1,85.1,195057
2014-11-21,85.23,85.7,82.66,84.22,84.22,282497
2014-11-24,84.23,84.56,83.06,84.3,84.3,190143
2014-11-25,84.2,85.62,83.65,85.02,85.02,178720
2014-11-26,84.99,85.75,84.84,85.61,85.61,243859
2014-11-27,85.5,86.95,85.0,86.05,86.05,279672
2014-11-28,85.89,88.73,85.88,88.2,88.2,351972
2014-12-01,88.5,97.02,88.32,96.4,96.4,816016
2014-12-02,96.45,99.75,95.8,98.14,98.14,569154
2014-12-03,98.78,100.27,97.1,99.0,99.0,399438
2014-12-04,99.01,100.35,98.15,98.35,98.35,390661
2014-12-05,98.35,99.85,97.77,98.51,98.51,251072
2014-12-08,98.67,99.39,95.12,95.96,95.96,323060
2014-12-09,95.92,96.9,94.5,94.63,94.63,255282
2014-12-10,95.49,97.59,94.89,95.28,95.28,248449
2014-12-11,95.21,96.31,93.29,93.68,93.68,294431
2014-12-12,93.68,96.5,92.55,94.7,94.7,332776
2014-12-15,95.0,97.66,93.53,95.75,95.75,647229
2014-12-16,95.0,113.19,89.0,108.05,108.05,789005
2014-12-17,108.71,112.95,92.01,92.16,92.16,618678
2014-12-18,92.5,97.36,89.11,91.93,91.93,435792
2014-12-19,87.5,92.2,86.0,88.6,88.6,297031
2014-12-22,88.68,91.0,86.1,87.99,87.99,265270
2014-12-23,87.32,87.87,79.93,80.49,80.49,289189
2014-12-24,80.0,82.75,79.62,81.68,81.68,143963
2014-12-25,81.0,81.75,79.89,80.05,80.05,63199
2014-12-26,80.19,80.95,79.89,79.9,79.9,86546
2014-12-29,79.93,86.0,79.75,83.6,83.6,217699
2014-12-30,84.05,85.53,80.11,80.8,80.8,155255
