Date,Open,High,Low,Close,Adj Close,Volume
2011-12-15,141.55,143.24,136.92,141.96,141.96,8513790
2011-12-16,145.12,150.93,141.1,150.93,150.93,7568290
2011-12-19,148.53,149.87,145.12,146.0,146.0,4108780
2011-12-20,146.0,146.75,142.43,146.0,146.0,3236100
2011-12-21,146.19,147.29,141.5,141.79,141.79,3028690
2011-12-22,142.5,148.0,141.24,147.98,147.98,8098420
2011-12-23,148.5,155.29,145.66,151.67,151.67,14831250
2011-12-26,152.05,155.5,150.59,151.66,151.66,9862750
2011-12-27,152.5,152.5,148.68,151.5,151.5,3273370
2011-12-28,151.47,152.89,147.55,149.49,149.49,2007920
2011-12-29,145.08,152.13,145.08,151.62,151.62,3837700
2011-12-30,152.5,154.98,151.15,152.2,152.2,2952710
2012-01-03,153.5,155.43,151.85,153.5,153.5,3862200
2012-01-04,154.0,154.4,151.77,153.77,153.77,1975400
2012-01-05,153.4,155.17,152.6,153.32,153.32,2721630
2012-01-06,154.15,154.97,152.62,154.01,154.01,1326010
2012-01-09,152.25,154.41,152.15,154.0,154.0,1444610
2012-01-10,154.01,155.79,153.23,153.5,153.5,3827390
2012-01-11,152.7,154.48,149.0,150.12,150.12,3526060
2012-01-12,151.0,155.0,149.53,153.85,153.85,4776620
2012-01-13,154.01,154.9,153.01,153.84,153.84,3963210
2012-01-16,153.47,153.83,151.23,152.5,152.5,2753630
2012-01-17,149.23,154.98,149.23,153.36,153.36,4260660
2012-01-18,154.05,154.45,152.05,153.65,153.65,3308570
2012-01-19,153.65,155.0,151.37,152.08,152.08,3717100
2012-01-20,151.1,153.17,147.51,148.4,148.4,5896730
2012-01-23,149.0,150.4,147.84,148.7,148.7,5555920
2012-01-24,148.5,150.2,146.55,147.7,147.7,5582660
2012-01-25,148.51,149.35,147.05,148.0,148.0,4283860
2012-01-26,149.0,150.25,147.82,148.58,148.58,4269030
2012-01-27,149.0,150.4,147.73,148.0,148.0,3058760
2012-01-30,148.0,149.11,144.56,146.76,146.76,3723520
2012-01-31,146.77,149.59,146.11,149.0,149.0,3851400
2012-02-01,148.51,154.1,147.84,152.0,152.0,8032970
2012-02-02,154.5,154.5,150.71,151.91,151.91,4052220
2012-02-03,152.0,154.75,151.52,154.65,154.65,5463620
2012-02-06,154.65,154.99,152.15,153.8,153.8,4543700
2012-02-07,153.8,153.81,151.16,152.41,152.41,2078370
2012-02-08,152.61,153.75,151.9,152.63,152.63,3119230
2012-02-09,152.63,153.09,149.12,149.99,149.99,3051550
2012-02-10,149.95,151.2,148.61,149.48,149.48,3356520
2012-02-13,150.2,152.0,150.02,151.52,151.52,2273850
2012-02-14,152.52,153.24,150.3,150.51,150.51,1977560
2012-02-15,151.5,153.1,150.51,151.01,151.01,2900380
2012-02-16,149.9,151.8,149.73,151.8,151.8,1293330
2012-02-17,152.1,152.38,149.95,150.52,150.52,2358060
2012-02-20,151.0,152.0,151.0,151.5,151.5,1284420
2012-02-21,151.7,151.8,148.75,149.51,149.51,1407180
2012-02-22,149.5,151.2,146.0,146.36,146.36,2404530
2012-02-24,147.75,148.9,146.0,148.28,148.28,4737260
2012-02-27,149.0,150.0,147.1,147.3,147.3,2828520
2012-02-28,143.76,148.45,143.76,144.85,144.85,2563410
2012-02-29,145.5,147.2,145.11,147.0,147.0,3027710
2012-03-01,147.0,147.0,145.35,146.87,146.87,2240290
2012-03-02,147.5,148.1,146.48,147.7,147.7,2327680
2012-03-05,147.8,148.98,147.1,148.57,148.57,2286370
2012-03-06,148.14,148.32,143.7,145.01,145.01,3237580
2012-03-07,145.03,145.99,142.72,143.4,143.4,3666010
2012-03-11,144.3,144.5,143.8,144.14,144.14,1673770
2012-03-12,144.6,146.14,143.77,145.5,145.5,3332140
2012-03-13,146.44,146.7,145.5,145.58,145.58,2192220
2012-03-14,146.55,149.89,146.16,148.54,148.54,6051830
2012-03-15,148.52,151.6,148.01,150.02,150.02,13070050
2012-03-16,151.46,152.0,148.27,151.97,151.97,7640250
2012-03-19,152.0,152.2,147.5,149.09,149.09,5849680
2012-03-20,148.23,150.28,147.35,149.25,149.25,4059020
2012-03-21,149.64,150.1,148.83,149.53,149.53,2724420
2012-03-22,149.6,149.97,146.65,147.2,147.2,4111500
2012-03-23,148.16,148.75,145.5,148.44,148.44,3644870
2012-03-26,151.7,151.7,147.54,147.99,147.99,2583290
2012-03-27,148.57,148.78,145.85,147.2,147.2,2057200
2012-03-28,147.27,147.44,144.5,145.86,145.86,2999300
2012-03-29,144.0,145.9,141.5,143.08,143.08,3333160
2012-03-30,143.61,146.1,143.48,143.73,143.73,3216360
2012-04-02,145.37,146.6,144.5,144.7,144.7,3586700
2012-04-03,146.0,147.27,145.25,146.4,146.4,3525820
2012-04-04,145.61,145.61,140.2,141.52,141.52,4890440
2012-04-05,142.0,143.1,140.43,142.35,142.35,2401560
2012-04-06,142.5,143.29,140.02,140.15,140.15,1482410
2012-04-09,141.42,144.24,140.0,142.49,142.49,4489820
2012-04-10,142.4,143.0,140.72,141.25,141.25,2491280
2012-04-11,140.87,142.33,140.41,141.45,141.45,2922130
2012-04-12,141.67,141.94,139.4,139.99,139.99,2122590
2012-04-13,139.82,141.08,138.12,139.0,139.0,4823530
2012-04-16,138.86,139.98,137.1,137.1,137.1,2402920
2012-04-17,138.13,138.22,134.0,135.09,135.09,5003370
2012-04-18,136.02,136.95,134.23,136.25,136.25,2588210
2012-04-19,136.0,139.64,136.0,137.7,137.7,4202480
2012-04-20,137.41,139.39,136.63,138.7,138.7,1837900
2012-04-23,138.68,138.87,136.0,136.0,136.0,2585390
2012-04-24,136.0,137.39,135.0,135.13,135.13,2111320
2012-04-25,135.95,136.39,134.25,134.5,134.5,1866200
2012-04-26,135.29,135.42,132.75,133.42,133.42,2132180
2012-04-27,133.5,135.11,132.17,134.71,134.71,5143960
2012-04-28,138.14,138.14,134.83,136.66,136.66,2452170
2012-05-02,132.71,135.19,132.5,134.3,134.3,4298160
2012-05-03,134.04,135.3,132.5,132.5,132.5,1495790
2012-05-04,131.96,133.45,124.6,127.0,127.0,6627000
2012-05-05,126.55,128.31,124.55,125.56,125.56,1306310
2012-05-07,124.0,125.17,119.68,124.54,124.54,2779090
2012-05-08,124.14,125.8,122.48,125.56,125.56,1633790
