Date,Open,High,Low,Close,Adj Close,Volume
2011-12-15,79.9,82.55,79.39,82.27,82.27,326291450
2011-12-16,82.7,83.38,80.51,80.63,80.63,222904100
2011-12-19,80.1,82.4,78.92,81.8,81.8,244669450
2011-12-20,81.49,82.75,80.12,82.71,82.71,214515410
2011-12-21,83.46,83.77,80.15,80.22,80.22,241736430
2011-12-22,81.41,81.41,79.0,79.99,79.99,178441460
2011-12-23,80.6,81.1,79.65,80.0,80.0,123492000
2011-12-26,80.48,81.95,80.13,81.42,81.42,87519430
2011-12-27,81.32,81.75,79.52,80.0,80.0,83223050
2011-12-28,79.99,80.2,79.03,79.28,79.28,70881100
2011-12-29,79.0,79.01,77.2,78.8,78.8,102850780
2011-12-30,79.03,79.73,78.0,79.4,79.4,60992850
2012-01-03,80.12,82.5,80.12,82.41,82.41,79049790
2012-01-04,82.44,84.48,81.91,83.52,83.52,136772110
2012-01-05,83.52,84.44,82.05,82.55,82.55,110283870
2012-01-06,82.51,84.38,81.67,83.2,83.2,126161090
2012-01-09,82.6,84.22,82.42,83.88,83.88,89385070
2012-01-10,84.38,87.25,84.24,86.81,86.81,231676230
2012-01-11,86.25,86.91,84.34,84.85,84.85,247416950
2012-01-12,85.2,86.38,84.04,84.3,84.3,222091930
2012-01-13,84.61,85.15,83.53,83.6,83.6,182459130
2012-01-16,83.0,84.21,82.55,83.95,83.95,124331590
2012-01-17,84.81,85.65,84.19,84.66,84.66,196357760
2012-01-18,84.66,85.56,83.95,84.7,84.7,174659590
2012-01-19,85.48,86.04,84.76,85.7,85.7,227812500
2012-01-20,86.0,86.28,84.82,85.13,85.13,161054350
2012-01-23,84.95,85.67,83.82,85.02,85.02,231997760
2012-01-24,84.85,85.49,84.47,85.04,85.04,174639920
2012-01-25,85.6,87.87,85.56,87.05,87.05,333071400
2012-01-26,88.0,90.8,87.97,90.4,90.4,362190490
2012-01-27,89.69,91.28,89.63,90.8,90.8,200327380
2012-01-30,90.15,90.69,88.86,88.92,88.92,176819850
2012-01-31,89.79,90.92,89.61,90.17,90.17,179109830
2012-02-01,89.72,92.93,89.17,92.75,92.75,255303400
2012-02-02,93.1,93.85,91.92,92.62,92.62,238150070
2012-02-03,92.51,94.79,92.32,94.52,94.52,163941140
2012-02-06,94.81,94.88,93.46,93.8,93.8,156747030
2012-02-07,94.0,94.45,92.85,93.46,93.46,173155180
2012-02-08,94.22,95.39,94.22,95.17,95.17,183859380
2012-02-09,95.08,96.37,94.64,95.28,95.28,244928870
2012-02-10,94.51,94.93,93.63,93.94,93.94,154301080
2012-02-13,94.63,96.37,94.63,96.19,96.19,171469900
2012-02-14,95.8,97.22,95.37,96.36,96.36,174978480
2012-02-15,97.32,97.77,96.66,97.2,97.2,169883490
2012-02-16,96.0,96.45,95.5,96.24,96.24,169841370
2012-02-17,97.27,97.39,96.46,96.76,96.76,149610900
2012-02-20,97.6,98.16,97.44,97.5,97.5,96506980
2012-02-21,97.77,97.77,96.31,96.68,96.68,139554930
2012-02-22,96.99,97.48,95.24,96.09,96.09,152308980
2012-02-24,96.79,99.22,96.21,99.02,99.02,209221050
2012-02-27,98.6,99.96,98.41,99.72,99.72,185495470
2012-02-28,100.17,100.4,98.32,98.64,98.64,156238760
2012-02-29,99.11,100.3,98.91,100.19,100.19,165353640
2012-03-01,99.48,100.37,98.94,100.25,100.25,140916220
2012-03-02,100.79,101.75,99.95,101.6,101.6,172344990
2012-03-05,101.8,103.3,101.32,102.3,102.3,150583560
2012-03-06,101.76,101.76,97.12,97.37,97.37,258949960
2012-03-07,97.07,97.99,96.68,97.68,97.68,195392990
2012-03-11,99.6,99.98,99.33,99.57,99.57,54819740
2012-03-12,99.14,100.35,98.38,99.09,99.09,183129370
2012-03-13,99.7,100.89,99.37,100.53,100.53,141328770
2012-03-14,101.8,103.85,101.8,103.32,103.32,244652180
2012-03-15,102.45,103.0,100.3,100.65,100.65,273838110
2012-03-16,100.99,101.17,99.51,100.18,100.18,155860220
2012-03-19,100.93,101.63,98.63,99.67,99.67,165104350
2012-03-20,99.8,100.09,98.02,98.49,98.49,136881500
2012-03-21,98.88,99.45,97.42,98.2,98.2,169406250
2012-03-22,97.98,98.84,95.84,96.0,96.0,174676230
2012-03-23,96.33,97.62,95.72,97.6,97.6,169406920
2012-03-26,98.09,100.3,98.04,99.98,99.98,145024390
2012-03-27,100.47,100.94,97.65,97.79,97.79,164809690
2012-03-28,97.46,98.15,95.4,95.91,95.91,223090110
2012-03-29,95.75,96.42,93.4,93.55,93.55,200278500
2012-03-30,94.92,96.0,94.02,94.86,94.86,213564910
2012-04-02,95.4,96.2,94.46,95.13,95.13,145721740
2012-04-03,96.07,98.23,95.67,98.0,98.0,220727520
2012-04-04,97.05,97.95,96.01,96.17,96.17,178630150
2012-04-05,96.6,97.56,94.65,97.42,97.42,206109740
2012-04-06,97.4,97.75,95.42,95.64,95.64,116217370
2012-04-09,95.31,95.99,93.51,95.92,95.92,168407820
2012-04-10,95.79,96.87,95.3,95.55,95.55,181689200
2012-04-11,94.89,97.16,94.62,96.0,96.0,161909890
2012-04-12,96.4,96.74,94.6,95.41,95.41,141555250
2012-04-13,94.03,95.13,93.6,94.18,94.18,135304280
2012-04-16,93.52,93.74,91.43,92.31,92.31,189478980
2012-04-17,92.49,93.39,91.14,93.23,93.23,160227770
2012-04-18,94.0,94.68,92.61,92.9,92.9,139560760
2012-04-19,93.08,94.84,92.88,94.35,94.35,147573460
2012-04-20,93.91,95.29,93.64,95.0,95.0,122239810
2012-04-23,94.55,94.71,91.98,92.54,92.54,117834810
2012-04-24,92.6,93.61,91.44,92.65,92.65,119386460
2012-04-25,93.15,94.13,93.15,93.75,93.75,101935100
2012-04-26,94.08,94.28,91.61,92.62,92.62,99341000
2012-04-27,92.3,94.12,91.85,93.79,93.79,116572050
2012-04-28,93.79,94.16,93.52,93.95,93.95,14104410
2012-05-02,94.47,95.69,93.06,93.06,93.06,106143030
2012-05-03,93.3,93.64,92.12,92.55,92.55,106464200
2012-05-04,92.12,92.64,90.32,90.83,90.83,154978600
2012-05-05,90.52,90.98,90.09,90.42,90.42,23108560
2012-05-07,89.0,89.87,86.0,88.5,88.5,86033710
2012-05-08,89.02,90.4,87.63,89.53,89.53,104475140
2012-05-10,89.71,91.84,89.27,91.79,91.79,111584590
2012-05-11,90.94,91.22,89.46,91.04,91.04,104555420
2012-05-12,90.5,91.09,90.21,90.99,90.99,18762220
2012-05-14,90.39,90.55,87.42,87.55,87.55,105540170
2012-05-15,87.49,88.9,86.22,88.19,88.19,170375330
2012-05-16,86.92,87.91,86.5,86.91,86.91,181681380
2012-05-17,87.0,87.3,79.79,80.71,80.71,306004150
2012-05-18,78.9,81.08,75.3,78.19,78.19,391700980
2012-05-21,78.95,82.05,78.25,81.95,81.95,205764160
2012-05-22,82.7,83.36,80.7,82.82,82.82,185386800
2012-05-23,81.34,81.5,78.57,78.65,78.65,188314100
2012-05-24,79.51,81.77,77.8,81.44,81.44,224620340
2012-05-25,81.12,82.9,79.85,79.87,79.87,175505600
2012-05-28,80.89,81.86,79.95,80.37,80.37,104526820
2012-05-29,80.96,84.17,80.31,84.14,84.14,217454140
2012-05-30,83.41,83.79,81.84,82.38,82.38,207458020
2012-05-31,82.37,83.52,80.52,81.69,81.69,261418600
2012-06-01,81.6,82.15,77.95,78.86,78.86,195306920
2012-06-04,77.49,78.87,76.25,78.1,78.1,163454720
2012-06-05,78.89,79.79,77.4,78.11,78.11,134177110
2012-06-06,78.99,80.84,77.77,80.62,80.62,179165000
2012-06-07,81.1,83.75,79.91,83.44,83.44,210832240
